,team_id,in_degree,out_degree,avg_total_degree,med_in_degree,med_out_degree,clustering_coef,avg_clustering_coef,betweenness,avg_betweenness,pagerank,avg_pagerank,max_clique,max_cliques,league,top_half,team_name,league_position
6,1623,[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  2.  6.  0.  1. 18.  3.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 2. 3. 6. 3. 3. 5. 6.],3.333333333,0,0.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.0, 12: 0.13333333333333333, 13: 0.09027977537059478, 14: 0.0, 15: 0.05699919822255656, 16: 0.21148773166770554, 17: 0.029495957088477354}",0.028977555,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.003676470588235294, 5: 0.003676470588235294, 6: 0.003676470588235294, 7: 0.003676470588235294, 8: 0.003676470588235294, 9: 0.022058823529411766, 10: 0.007352941176470588, 11: 0.01838235294117647, 12: 0.03676470588235294, 13: 0.0625, 14: 0.01838235294117647, 15: 0.04411764705882353, 16: 0.03308823529411765, 17: 0.058823529411764705}",0.018586601,"{0: 0.053560860761270375, 1: 0.053560860761270375, 2: 0.053560860761270375, 3: 0.053560860761270375, 4: 0.053560860761270375, 5: 0.053560860761270375, 6: 0.053560860761270375, 7: 0.053560860761270375, 8: 0.053560860761270375, 9: 0.05717594231268691, 10: 0.053939947334394014, 11: 0.056498820896436826, 12: 0.05876173675231321, 13: 0.0588427884823104, 14: 0.05853315005631851, 15: 0.05635336306739933, 16: 0.05545629362688856, 17: 0.062390210619818795}",0.053750404,1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [17]]",0,1,Everton,8
8,1624,[ 0.  0.  0.  0.  1.  2.  0.  1.  2.  1.  3.  1.  5. 15.  4.  1. 29.  6.],[ 0.  0.  0.  1.  2.  3.  0.  1.  3.  2.  9.  2.  6. 17.  9.  2.  6.  8.],7.888888889,1,2,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0.0, 5: 0.0, 6: 0, 7: 0, 8: 0.020833333333333332, 9: 0.0, 10: 0.015278126791726661, 11: 0.0, 12: 0.07996525919064502, 13: 0.021633801620795184, 14: 0.027204035230063116, 15: 0.13465216812699274, 16: 0.15108886435379254, 17: 0.02347913161463497}",0.026340818,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.051470588235294115, 4: 0.09558823529411764, 5: 0.1323529411764706, 6: 0.003676470588235294, 7: 0.03308823529411765, 8: 0.11764705882352941, 9: 0.06433823529411764, 10: 0.11948529411764706, 11: 0.06985294117647059, 12: 0.0625, 13: 0.15073529411764705, 14: 0.07720588235294118, 15: 0.04779411764705882, 16: 0.07352941176470588, 17: 0.058823529411764705}",0.06495098,"{0: 0.0517994541120507, 1: 0.0517994541120507, 2: 0.0517994541120507, 3: 0.057104424036170554, 4: 0.057723629084671914, 5: 0.06446375416213787, 6: 0.0517994541120507, 7: 0.051968866409112774, 8: 0.05569563908183668, 9: 0.053215034285172276, 10: 0.05814296332579644, 11: 0.057990783151504605, 12: 0.054969439052418, 13: 0.0661482139135469, 14: 0.05662574983995131, 15: 0.052138278706174844, 16: 0.05346065601475572, 17: 0.053154752488547286}",0.054215048,2,"[[8, 10], [13, 10], [13, 12], [13, 14], [16, 17]]",0,1,Tottenham Hotspur,3
2,1625,[ 0.  0.  0.  0.  2.  0.  1.  8.  0. 11. 14.  2. 18. 32. 14. 15. 59.  8.],[ 0.  0.  0.  0.  3.  1.  2.  9.  2. 14. 19.  5. 24. 37. 21. 20. 14. 13.],20.44444444,5,7,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0.036116930677335124, 5: 0, 6: 0.048458501919033586, 7: 0.025058084521420734, 8: 0.0, 9: 0.018907307782446994, 10: 0.015705338465553966, 11: 0.030883271624136954, 12: 0.012512428404259805, 13: 0.00926533863881215, 14: 0.012584472499905892, 15: 0.014729126588943655, 16: 0.04539568273761837, 17: 0.018480698497784068}",0.016005399,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.09926470588235294, 5: 0.04779411764705882, 6: 0.09191176470588236, 7: 0.1801470588235294, 8: 0.04779411764705882, 9: 0.23529411764705882, 10: 0.3069852941176471, 11: 0.09436274509803921, 12: 0.17647058823529413, 13: 0.2138480392156863, 14: 0.13480392156862747, 15: 0.10294117647058823, 16: 0.13602941176470587, 17: 0.09191176470588236}",0.109681373,"{0: 0.05353724606383509, 1: 0.05353724606383509, 2: 0.05353724606383509, 3: 0.05353724606383509, 4: 0.05454914515144423, 5: 0.0535869473530141, 6: 0.05522928639171603, 7: 0.05830732929978168, 8: 0.053985602878499864, 9: 0.056391714835838144, 10: 0.06042153566567783, 11: 0.055986568397155795, 12: 0.057193806408001105, 13: 0.05812363437093383, 14: 0.05677045202905367, 15: 0.055992542359365134, 16: 0.05474651954403533, 17: 0.054565931060142785}",0.054987903,3,"[[9, 10, 12], [13, 16, 17], [13, 16, 15], [13, 17, 14], [13, 10, 12], [13, 10, 14], [13, 15, 12]]",0,1,Manchester City,1
11,1627,[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  4.  2.  0.  0.  1.  0.  2. 11.  0.],[0. 0. 0. 0. 0. 0. 0. 1. 0. 6. 4. 0. 0. 1. 1. 2. 3. 2.],2.222222222,0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.059790017532803316, 10: 0.08500174631358133, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0.15749013123685915, 16: 0.5166876893288964, 17: 0.0}",0.04549831,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.003676470588235294, 5: 0.003676470588235294, 6: 0.003676470588235294, 7: 0.01838235294117647, 8: 0.003676470588235294, 9: 0.014705882352941176, 10: 0.029411764705882353, 11: 0.003676470588235294, 12: 0.003676470588235294, 13: 0.05514705882352941, 14: 0.014705882352941176, 15: 0.04044117647058824, 16: 0.07352941176470588, 17: 0.014705882352941176}",0.016544118,"{0: 0.05106177533191035, 1: 0.05106177533191035, 2: 0.05106177533191035, 3: 0.05106177533191035, 4: 0.05106177533191035, 5: 0.05106177533191035, 6: 0.05106177533191035, 7: 0.05902495527029756, 8: 0.05106177533191035, 9: 0.07919183280576478, 10: 0.06370501553384306, 11: 0.05106177533191035, 12: 0.05106177533191035, 13: 0.05783452418852923, 14: 0.05262179541975885, 15: 0.054181815507607346, 16: 0.0686404924474883, 17: 0.054181815507607346}",0.051061775,1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [17]]",0,0,West Bromwich Albion,20
19,1628,[ 0.  1.  0.  1.  0.  2.  2.  1.  1.  2.  1.  0.  3.  7.  3.  2. 15.  3.],[0. 1. 0. 1. 0. 2. 2. 1. 2. 2. 1. 0. 7. 8. 6. 4. 4. 3.],4.888888889,1.5,2,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0.0, 6: 0.375, 7: 0, 8: 0.0, 9: 0.15749013123685915, 10: 0, 11: 0, 12: 0.05380764404511603, 13: 0.08907405804417612, 14: 0.07533070166316244, 15: 0.08936309343972215, 16: 0.4070801430583298, 17: 0.25642013689391774}",0.083531439,"{0: 0.003676470588235294, 1: 0.1323529411764706, 2: 0.003676470588235294, 3: 0.16176470588235295, 4: 0.003676470588235294, 5: 0.09926470588235294, 6: 0.18382352941176472, 7: 0.07720588235294118, 8: 0.05514705882352941, 9: 0.20955882352941177, 10: 0.06985294117647059, 11: 0.003676470588235294, 12: 0.16544117647058823, 13: 0.11029411764705882, 14: 0.08455882352941177, 15: 0.0661764705882353, 16: 0.12867647058823528, 17: 0.1213235294117647}",0.093341503,"{0: 0.045966609377093265, 1: 0.057003673948719996, 2: 0.045966609377093265, 3: 0.05218790229459086, 4: 0.045966609377093265, 5: 0.07091455897472641, 6: 0.05883347552224774, 7: 0.05608833099463479, 8: 0.06096379494140293, 9: 0.06284583668891447, 10: 0.047859854563466434, 11: 0.045966609377093265, 12: 0.07117072552549784, 13: 0.06266430234547543, 14: 0.06302658064363548, 15: 0.048888784277252434, 16: 0.05181491216680966, 17: 0.05187082960425239}",0.054138117,2,"[[5, 8], [9, 12], [17, 16], [17, 14]]",0,0,Crystal Palace,11
1,1631,[ 1.  0.  0.  1.  2.  0.  1.  2.  1.  0.  2.  1.  1.  3.  0.  2. 23.  2.],[1. 1. 0. 1. 4. 0. 1. 2. 2. 1. 4. 1. 5. 7. 0. 5. 4. 3.],4.666666667,1,1.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0.06371390349955833, 5: 0, 6: 0, 7: 0.10499342082457276, 8: 0.0, 9: 0, 10: 0.0, 11: 0, 12: 0.0, 13: 0.0, 14: 0, 15: 0.022620146804957553, 16: 0.31628333226240823, 17: 0.0}",0.0282006,"{0: 0.07352941176470588, 1: 0.04044117647058824, 2: 0.003676470588235294, 3: 0.04044117647058824, 4: 0.09926470588235294, 5: 0.003676470588235294, 6: 0.029411764705882353, 7: 0.0625, 8: 0.04779411764705882, 9: 0.014705882352941176, 10: 0.11029411764705882, 11: 0.029411764705882353, 12: 0.022058823529411766, 13: 0.10294117647058823, 14: 0.003676470588235294, 15: 0.04411764705882353, 16: 0.05514705882352941, 17: 0.04779411764705882}",0.046160131,"{0: 0.054356041280991745, 1: 0.05792349454911708, 2: 0.048226580136511606, 3: 0.05689880010450272, 4: 0.06871727457804487, 5: 0.048226580136511606, 6: 0.04861261576587346, 7: 0.06172655045677138, 8: 0.0646734222030245, 9: 0.05790350724840332, 10: 0.06485992054756651, 11: 0.05976377520691574, 12: 0.054244565642842274, 13: 0.05632812404453442, 14: 0.048226580136511606, 15: 0.050156758283320876, 16: 0.04977072265395902, 17: 0.04938468702459717}",0.055342083,2,"[[8, 11], [10, 13]]",0,1,Leicester City,9
13,1633,[ 0.  0.  0.  0.  1.  0.  0.  1.  0.  0.  1.  2.  3.  5.  1.  1. 15.  0.],[0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 1. 2. 4. 9. 3. 3. 4. 1.],3.333333333,0.5,1,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.0, 12: 0.10551227420162167, 13: 0.025925582976118754, 14: 0.0, 15: 0.040062488064094674, 16: 0.21830850196178914, 17: 0}",0.021656047,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.0661764705882353, 5: 0.03676470588235294, 6: 0.003676470588235294, 7: 0.08823529411764706, 8: 0.003676470588235294, 9: 0.003676470588235294, 10: 0.042279411764705885, 11: 0.11213235294117647, 12: 0.06985294117647059, 13: 0.11397058823529412, 14: 0.05514705882352941, 15: 0.04044117647058824, 16: 0.04044117647058824, 17: 0.01838235294117647}",0.039419935,"{0: 0.04791744240452505, 1: 0.04791744240452505, 2: 0.04791744240452505, 3: 0.04791744240452505, 4: 0.06204524717507975, 5: 0.06342811458997547, 6: 0.04791744240452505, 7: 0.05651071061778406, 8: 0.04791744240452505, 9: 0.04791744240452505, 10: 0.051205923061599344, 11: 0.06874810920637886, 12: 0.07367341752651721, 13: 0.06576802025822048, 14: 0.07016788936049966, 15: 0.05048444104807661, 16: 0.0513401072625938, 17: 0.051205923061599344}",0.051205923,2,"[[11, 14]]",0,0,West Ham United,13
12,1639,[ 0.  0.  0.  1.  3.  0.  3.  1.  1.  1.  0.  2.  1.  1.  1.  1. 14.  1.],[0. 1. 0. 1. 3. 0. 3. 1. 1. 1. 2. 3. 2. 3. 1. 2. 5. 2.],3.444444444,1,1.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0.0, 5: 0, 6: 0.16666666666666666, 7: 0, 8: 0, 9: 0, 10: 0.0, 11: 0.13333333333333333, 12: 0.2, 13: 0.04807498567691361, 14: 0, 15: 0.0, 16: 0.17405680431033269, 17: 0.0}",0.040118433,"{0: 0.003676470588235294, 1: 0.04044117647058824, 2: 0.003676470588235294, 3: 0.058823529411764705, 4: 0.20220588235294118, 5: 0.003676470588235294, 6: 0.13970588235294118, 7: 0.10294117647058823, 8: 0.07352941176470588, 9: 0.09191176470588236, 10: 0.011029411764705883, 11: 0.10661764705882353, 12: 0.011029411764705883, 13: 0.011029411764705883, 14: 0.04411764705882353, 15: 0.058823529411764705, 16: 0.05514705882352941, 17: 0.014705882352941176}",0.057393791,"{0: 0.04834915881952849, 1: 0.0575590801984517, 2: 0.04834915881952849, 3: 0.05246378896957973, 4: 0.07117569279321756, 5: 0.04834915881952849, 6: 0.07038040766408232, 7: 0.054222778493123645, 8: 0.052510398247540446, 9: 0.052510398247540446, 10: 0.05781539434401476, 11: 0.0669773718479434, 12: 0.06919088597651923, 13: 0.05028774327993438, 14: 0.048995353639663786, 15: 0.04964154845979908, 16: 0.051580132920204975, 17: 0.04964154845979908}",0.052487094,1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [17]]",0,0,Stoke City,19
9,1644,[ 0.  0.  0.  0.  0.  0.  0.  3.  1.  3.  0.  2.  2.  7.  2.  1. 14.  2.],[0. 0. 0. 0. 0. 1. 0. 4. 1. 4. 1. 2. 2. 7. 3. 5. 5. 2.],4.111111111,1,1.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.11666666666666667, 8: 0, 9: 0.10979001753280332, 10: 0, 11: 0.0, 12: 0.12599210498948732, 13: 0.06072754569492766, 14: 0.0, 15: 0.0, 16: 0.1542883523318981, 17: 0.2}",0.042636927,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.003676470588235294, 5: 0.04044117647058824, 6: 0.003676470588235294, 7: 0.0974264705882353, 8: 0.05514705882352941, 9: 0.058823529411764705, 10: 0.014705882352941176, 11: 0.08823529411764706, 12: 0.05698529411764706, 13: 0.08823529411764706, 14: 0.08272058823529412, 15: 0.03676470588235294, 16: 0.04411764705882353, 17: 0.03676470588235294}",0.040134804,"{0: 0.04974186965306687, 1: 0.04974186965306687, 2: 0.04974186965306687, 3: 0.04974186965306687, 4: 0.04974186965306687, 5: 0.053533004368053555, 6: 0.04974186965306687, 7: 0.06484627635633623, 8: 0.05904912641722617, 9: 0.06782078182039813, 10: 0.05136819248425435, 11: 0.06524772161049132, 12: 0.05885605817015449, 13: 0.0649079002879096, 14: 0.05871646295258068, 15: 0.05306588992598091, 16: 0.05306588992598091, 17: 0.05107147776223248}",0.05306589,2,"[[9, 12], [9, 7], [11, 14]]",0,0,Watford,14
3,1646,[ 0.  1.  0.  1.  3.  1.  0.  1.  0.  2.  1.  3.  0.  2.  1.  3. 16.  1.],[0. 1. 0. 2. 4. 1. 0. 3. 1. 2. 1. 3. 2. 3. 3. 3. 3. 4.],4,1,2,"{0: 0, 1: 0, 2: 0, 3: 0.0, 4: 0.12041173228509625, 5: 0, 6: 0, 7: 0.0, 8: 0, 9: 0.0, 10: 0, 11: 0.07571335803467248, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.1739500876640166, 16: 0.6876052767076778, 17: 0.0}",0.058760025,"{0: 0.003676470588235294, 1: 0.08455882352941177, 2: 0.003676470588235294, 3: 0.11397058823529412, 4: 0.08823529411764706, 5: 0.04411764705882353, 6: 0.003676470588235294, 7: 0.10539215686274508, 8: 0.011029411764705883, 9: 0.07475490196078431, 10: 0.034926470588235295, 11: 0.04779411764705882, 12: 0.011029411764705883, 13: 0.05453431372549019, 14: 0.05024509803921568, 15: 0.014705882352941176, 16: 0.05514705882352941, 17: 0.03308823529411765}",0.046364379,"{0: 0.04834315293140912, 1: 0.05964567678806976, 2: 0.04834315293140912, 3: 0.06523854357223838, 4: 0.07752202570928554, 5: 0.057093556410440616, 6: 0.04834315293140912, 7: 0.06644328040977607, 8: 0.05122870876013908, 9: 0.0621538876203316, 10: 0.05122870876013908, 11: 0.049966278085069725, 12: 0.0544016562513268, 13: 0.05480934072787501, 14: 0.05231079219591282, 15: 0.0524544880271417, 16: 0.049966278085069725, 17: 0.05050731980295659}",0.05238264,2,"[[9, 13]]",0,1,Burnley,7
17,1651,[ 0.  0.  0.  1.  1.  0.  0.  3.  0.  1.  2.  0.  5.  1.  0.  1. 14.  0.],[0. 0. 0. 1. 1. 0. 0. 4. 0. 4. 3. 0. 6. 0. 0. 1. 7. 2.],3.222222222,0.5,0.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.07142857142857142, 8: 0, 9: 0.014999060117796108, 10: 0.09523809523809523, 11: 0, 12: 0.05286988173378951, 13: 0, 14: 0, 15: 0, 16: 0.060685403215363365, 17: 0.0}",0.016401167,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.051470588235294115, 4: 0.0661764705882353, 5: 0.003676470588235294, 6: 0.003676470588235294, 7: 0.11397058823529412, 8: 0.003676470588235294, 9: 0.125, 10: 0.07352941176470588, 11: 0.003676470588235294, 12: 0.125, 13: 0.025735294117647058, 14: 0.003676470588235294, 15: 0.029411764705882353, 16: 0.03308823529411765, 17: 0.007352941176470588}",0.037785948,"{0: 0.051613162041145154, 1: 0.051613162041145154, 2: 0.051613162041145154, 3: 0.05484624724590005, 4: 0.053366912931673754, 5: 0.051613162041145154, 6: 0.051613162041145154, 7: 0.0730473142801873, 8: 0.051613162041145154, 9: 0.07037626514514438, 10: 0.057723571192057684, 11: 0.051613162041145154, 12: 0.06603838343721662, 13: 0.051613162041145154, 14: 0.051613162041145154, 15: 0.052137498168552975, 16: 0.05528351493299991, 17: 0.052661834295960795}",0.05187533,2,"[[3, 7], [9, 12]]",0,0,Brighton & Hove Albion,15
14,1659,[ 0.  0.  0.  1.  4.  2.  1.  3.  5.  1.  2.  3.  1.  3.  4.  3. 13.  4.],[0. 1. 1. 1. 5. 2. 1. 4. 6. 1. 2. 3. 1. 4. 5. 3. 5. 5.],5.555555556,2.5,2.5,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0.11624506561842958, 5: 0.0, 6: 0, 7: 0.125, 8: 0.08695602628192727, 9: 0, 10: 0.19842513149602492, 11: 0.2408234645701925, 12: 0, 13: 0.14743836755681278, 14: 0.11059152627328842, 15: 0.18832675415790612, 16: 0.24432580218357658, 17: 0.14174317482739315}",0.088881962,"{0: 0.003676470588235294, 1: 0.058823529411764705, 2: 0.05514705882352941, 3: 0.11029411764705882, 4: 0.20955882352941177, 5: 0.16727941176470587, 6: 0.08088235294117647, 7: 0.21507352941176472, 8: 0.2959558823529412, 9: 0.13602941176470587, 10: 0.07352941176470588, 11: 0.08088235294117647, 12: 0.11764705882352941, 13: 0.11764705882352941, 14: 0.17463235294117646, 15: 0.09191176470588236, 16: 0.11397058823529412, 17: 0.0974264705882353}",0.122242647,"{0: 0.04797220870329656, 1: 0.05618883685994508, 2: 0.05218936771362778, 3: 0.0507841556923141, 4: 0.06951926865380104, 5: 0.052129109851417665, 6: 0.050050659277357114, 7: 0.06689659297171896, 8: 0.06422997753209976, 9: 0.056209745608543346, 10: 0.049307349276807105, 11: 0.05641584543000599, 12: 0.05091265675146882, 13: 0.05552916938507377, 14: 0.058304376879909636, 15: 0.05452067508639635, 16: 0.05363732340952769, 17: 0.05520268091668918}",0.054861678,2,"[[8, 14], [13, 16], [13, 17]]",0,0,AFC Bournemouth,12
5,1673,[ 0.  0.  0.  0.  0.  0.  0.  2.  1.  0.  2.  2.  4.  2.  1.  2. 11.  3.],[0. 0. 0. 0. 0. 0. 0. 2. 1. 2. 2. 3. 6. 1. 1. 3. 4. 5.],3.333333333,1,1,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0.375, 8: 0, 9: 0.0, 10: 0.375, 11: 0.16666666666666666, 12: 0.08140831901024695, 13: 0, 14: 0, 15: 0.05249671041228638, 16: 0.2522342323282905, 17: 0.09399802624737184}",0.07760022,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.003676470588235294, 5: 0.003676470588235294, 6: 0.003676470588235294, 7: 0.07352941176470588, 8: 0.09558823529411764, 9: 0.04044117647058824, 10: 0.08823529411764706, 11: 0.09558823529411764, 12: 0.0625, 13: 0.025735294117647058, 14: 0.0625, 15: 0.029411764705882353, 16: 0.03676470588235294, 17: 0.05514705882352941}",0.038398693,"{0: 0.050735277942178296, 1: 0.050735277942178296, 2: 0.050735277942178296, 3: 0.050735277942178296, 4: 0.050735277942178296, 5: 0.050735277942178296, 6: 0.050735277942178296, 7: 0.059855154433882285, 8: 0.05573233748669207, 9: 0.05728040944278423, 10: 0.06366587240180112, 11: 0.06767876865250766, 12: 0.06739522048547122, 13: 0.05477988279409605, 14: 0.05351093381529049, 15: 0.05495039967918398, 16: 0.05361420966996527, 17: 0.05638986554307746}",0.054197046,1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15], [16], [17]]",0,0,Huddersfield Town,16
75,2443,[0. 0. 0. 0. 0. 0. 0. 0. 0. 2. 2. 0. 1. 2. 0. 1. 8. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 4. 2. 0. 1. 5. 1. 3. 0. 0.],1.777777778,0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.07645668419946999, 10: 0.12599210498948732, 11: 0, 12: 0, 13: 0.0, 14: 0, 15: 0.0, 16: 0, 17: 0}",0.011247155,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.003676470588235294, 5: 0.003676470588235294, 6: 0.003676470588235294, 7: 0.003676470588235294, 8: 0.003676470588235294, 9: 0.025735294117647058, 10: 0.03676470588235294, 11: 0.003676470588235294, 12: 0.03308823529411765, 13: 0.03308823529411765, 14: 0.011029411764705883, 15: 0.04044117647058824, 16: 0.025735294117647058, 17: 0.003676470588235294}",0.013684641,"{0: 0.03701661748738627, 1: 0.03701661748738627, 2: 0.03701661748738627, 3: 0.03701661748738627, 4: 0.03701661748738627, 5: 0.03701661748738627, 6: 0.03701661748738627, 7: 0.03701661748738627, 8: 0.03701661748738627, 9: 0.18311330125858905, 10: 0.14020961897207884, 11: 0.03701661748738627, 12: 0.05287404432523675, 13: 0.0513151827483367, 14: 0.05287404432523675, 15: 0.07541439852188658, 16: 0.03701661748738627, 17: 0.03701661748738627}",0.037016617,2,"[[9, 10]]",2,0,Werder Bremen,11
60,2444,[ 0.  0.  0.  0.  1.  0.  3.  3.  1.  8. 10. 11.  9. 18. 13.  7. 49.  8.],[ 0.  0.  0.  0.  2.  1.  4.  4.  1.  9. 12. 18. 11. 21. 22.  8. 12. 16.],15.66666667,5,6,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0.0, 5: 0, 6: 0.04512618076653521, 7: 0.04031776712929796, 8: 0, 9: 0.019677765110013436, 10: 0.023074892182809843, 11: 0.012869007543347792, 12: 0.038081432736143415, 13: 0.015493410885706448, 14: 0.010786502999161358, 15: 0.04607490099345479, 16: 0.0382688624861207, 17: 0.011826583426983043}",0.016755406,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.14338235294117646, 5: 0.051470588235294115, 6: 0.1801470588235294, 7: 0.21691176470588236, 8: 0.09558823529411764, 9: 0.17647058823529413, 10: 0.14522058823529413, 11: 0.2984068627450981, 12: 0.10784313725490195, 13: 0.19240196078431374, 14: 0.13725490196078433, 15: 0.10845588235294118, 16: 0.0974264705882353, 17: 0.21415441176470587}",0.12110226,"{0: 0.053519481484468896, 1: 0.053519481484468896, 2: 0.053519481484468896, 3: 0.053519481484468896, 4: 0.05656046552318256, 5: 0.05378562057834286, 6: 0.05866380352084386, 7: 0.055368284262837984, 8: 0.05386410373761813, 9: 0.05675499628902717, 10: 0.056309460769351435, 11: 0.05848627543857791, 12: 0.0568238844660426, 13: 0.057410714020096974, 14: 0.0574692465114366, 15: 0.05487388979302001, 16: 0.05447629423126185, 17: 0.05507503492048448}",0.05522166,3,"[[12, 9, 10], [12, 13, 15]]",2,1,Bayern M\u00fcnchen,1
74,2445,[0. 0. 0. 0. 0. 0. 0. 0. 0. 3. 0. 0. 2. 1. 0. 2. 8. 0.],[0. 0. 0. 0. 0. 0. 1. 0. 0. 4. 0. 0. 2. 0. 0. 4. 2. 3.],1.777777778,0,0,"{0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.15520558477689442, 10: 0, 11: 0, 12: 0.20998684164914552, 13: 0, 14: 0, 15: 0.040062488064094674, 16: 1.1933612743506345, 17: 0.0}",0.08881201,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.003676470588235294, 4: 0.003676470588235294, 5: 0.003676470588235294, 6: 0.022058823529411766, 7: 0.003676470588235294, 8: 0.003676470588235294, 9: 0.04411764705882353, 10: 0.003676470588235294, 11: 0.003676470588235294, 12: 0.025735294117647058, 13: 0.025735294117647058, 14: 0.003676470588235294, 15: 0.05514705882352941, 16: 0.04044117647058824, 17: 0.014705882352941176}",0.014910131,"{0: 0.05065358506786731, 1: 0.05065358506786731, 2: 0.05065358506786731, 3: 0.05065358506786731, 4: 0.05065358506786731, 5: 0.05065358506786731, 6: 0.058185699292502446, 7: 0.05065358506786731, 8: 0.05065358506786731, 9: 0.08391994321659973, 10: 0.05065358506786731, 11: 0.05065358506786731, 12: 0.060281047421202896, 13: 0.05065358506786731, 14: 0.05065358506786731, 15: 0.07057913444962167, 16: 0.06225152535169684, 17: 0.05693962945396865}",0.050653585,2,"[[9, 12], [15, 16]]",2,1,Stuttgart,7
